nome,capacidade,latitude,longitude,time,treinador,capitão,pri_div,web
Maracanã,78838,-22.9122,-43.2302,Flamengo,Jorge Sampaoli,Éverton Ribeiro,Sim,https://www.flamengo.com.br/
Estádio do Morumbi,66795,-23.6024,-46.7194,São Paulo,Dorival Junior,Diego Costa,Sim,https://www.saopaulofc.net/
Estádio Mineirão,62547,-19.8642,-43.9697,Cruzeiro,Pepa,Rafael Cabral,Sim,https://www.cruzeiro.com.br/
Estádio Mané Garrincha,72888, -15.7833,-47.8997,Brasilia FC,Ricardo Antônio,,Não,
Estádio Do Castelão,63903,-3.7764,-38.5724,Fortaleza,Juan Pablo Vojvoda,Tinga,Sim,https://fortaleza1918.com.br/
Arena Fonte Nova,47907,-12.9786,-38.5042,Bahia,Renato Paiva,Daniel,Sim,https://www.esporteclubebahia.com.br/
Allianz Parque,43713,-23.5277,-46.7128,Palmeiras,Abel Ferreira,Gustavo Gómez,Sim,https://www.palmeiras.com.br/
Arena Corinthians,47605,-23.5475,-46.4742,Corinthians,Vanderlei Luxemburgo,Cássio,Sim,https://www.corinthians.com.br/
Estádio Beira-Rio,50128,-30.0658,-51.2353,Internacional,Mano Menezes,Alan Patrick,Sim,https://internacional.com.br/
Arena da Baixada,42372,-25.4403,-49.2803,Athletico Paranaense,Paulo Turrra,Thiago Heleno,Sim,https://www.athletico.com.br/
Estádio do Pacaembu,40199,-23.5519,-46.6647,,,,,
Estádio São Januário,21880,-22.9067,-43.2300,Vasco da Gama,Maurício Barbieri,Léo,Sim,https://vasco.com.br/
Arena Pantanal,41112,-15.6144,-56.0847,Cuiabá,Ivo Vieira,Walter,Sim,https://cuiabaesporteclube.com.br/
Estádio do Arruda,60044,-8.0475,-34.8911,Sport,Enderson Moreira,Rafael Thyere,Não,https://sportrecife.com.br/
Estádio Durival de Britto,20083,-25.4122,-49.2542,Paraná Clube,Marcão,Dirceu,Não,https://paranaclube.com.br/
Arena Condá,20089,-27.1078,-52.6153,Chapecoense,Agel Fuchs,Maurício,Não,https://chapecoense.com/
Estádio Raulino de Oliveira,21000,-22.5228,-44.1069,Fluminense,Fernando Diniz,Nino,Sim,https://www.fluminense.com.br/
Estádio Rei Pelé,17126,-9.6542,-35.7169,CRB,Umberto Louzer,Gum,Não,https://www.crb.esp.br/
Estádio Nilton Santos,46931,-22.8939,-43.2892,Botafogo,Luis Castro,Marçal,Sim,https://www.botafogo.com.br/
Estádio Serra Dourada,41574,-16.6775,-49.2536,Goiás,Émerson Ávila,Tadeu,Sim,https://www.goiasec.com.br/
